number	reason	partner_url
3914	state	https://github.com/ubiquity/work.ubq.fi/issues/205
3915	state	https://github.com/ubiquity/stake.ubq.fi/issues/8
3916	state	https://github.com/ubiquity-os/ubiquity-os-kernel/issues/228
3917	state	https://github.com/ubiquity/work.ubq.fi/issues/204
3918	state	https://github.com/ubiquity/stake.ubq.fi/issues/6
3919	state	https://github.com/ubiquity-os/ubiquity-os-kernel/issues/263
3920	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/23
3921	state	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/71
3922	state	https://github.com/ubiquity/stake.ubq.fi/issues/4
3923	state	https://github.com/ubiquity/work.ubq.fi/issues/206
3924	state	https://github.com/ubiquity-os/ubiquity-os-kernel/issues/54
3926	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/433
3925	state	https://github.com/ubiquity-os/plugins-wishlist/issues/77
3927	state	https://github.com/ubiquity/pay.ubq.fi/issues/386
3928	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/55
3929	state	https://github.com/ubiquity-os-marketplace/command-config/issues/22
3930	state	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/82
3931	state	https://github.com/ubiquity/stake.ubq.fi/issues/3
3932	state	https://github.com/ubiquity-os/ubiquity-os-kernel/issues/242
3933	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/340
3934	state	https://github.com/ubiquity-os/plugins-wishlist/issues/76
3935	state	https://github.com/ubiquity/ubiquity-dollar/issues/831
3936	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/74
3937	state	https://github.com/ubiquity-os/ubiquity-os-kernel/issues/261
3938	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/301
3939	state	https://github.com/ubiquity-os/plugins-wishlist/issues/26
3940	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/78
3941	state	https://github.com/ubiquity-os/ubiquity-os-kernel/issues/267
3942	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/385
3943	state	https://github.com/ubiquity/ubiquity-dollar/issues/926
3944	state	https://github.com/ubiquity-os/plugins-wishlist/issues/30
3945	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/81
3946	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/330
